,Q_decile,da_oom,barefoot_mu,barefoot_sigma,platte_mu,platte_sigma,glow_mu,glow_sigma
0,0,-3,-0.4,0.5,,,,
1,0,-2,-0.4,0.5,,,,
2,0,-1,-0.4,0.5,,,,
3,0,0,,,,,,
4,0,1,,,3.14878685977343,0.7148453922426006,4.29621393053845,0.9377454077171932
5,0,2,,,2.825285758431669,0.7039159490505584,4.625367317973069,1.2920400024085168
6,0,3,,,3.021050247580402,0.6960308190600939,4.084857011206363,0.9819293624825576
7,0,4,,,3.398310032365956,0.7323697177834441,4.411940914706421,0.8871579205617471
8,0,5,,,4.554052560967908,0.9315358984742704,5.532930487943236,0.7946822578555636
9,0,6,,,,,6.089245249209572,0.5674070807184782
12,1,-3,-0.39,0.5,,,,
13,1,-2,-0.39,0.5,,,,
14,1,-1,-0.39,0.5,,,,
15,1,0,,,,,,
16,1,1,,,3.1521117219046304,0.5893016290817794,4.314401974952945,0.9272872104343944
17,1,2,,,2.832771407938908,0.6438324375425014,4.634512126150268,1.2845965282551215
18,1,3,,,3.063336376467518,0.6783052590666154,4.118010209456491,0.9494162090240252
19,1,4,,,3.4170171592866776,0.8086191668831729,4.467405622200695,0.8511109477311357
20,1,5,,,4.389256024215761,1.1493537798493587,5.565984788386193,0.7721602280814276
21,1,6,,,,,6.135406876056395,0.5939976569640304
24,2,-3,-0.38,0.5,,,,
25,2,-2,-0.38,0.5,,,,
26,2,-1,-0.38,0.5,,,,
27,2,0,,,,,,
28,2,1,,,3.126617001780373,0.6003110832495865,4.311849349067891,0.9469892088761112
29,2,2,,,2.8348525235489346,0.6756494273324034,4.657551842129476,1.2669863259803376
30,2,3,,,3.035122302162547,0.6924702348855534,4.144727428446268,0.9354902485057366
31,2,4,,,3.373204252086828,0.7879569341733322,4.504671392916784,0.8282414579276179
32,2,5,,,4.409121187031257,1.0846852779959446,5.597527905106368,0.7520691963786568
33,2,6,,,,,6.173439663616239,0.6119561547342327
36,3,-3,-0.37,0.5,,,,
37,3,-2,-0.37,0.5,,,,
38,3,-1,-0.37,0.5,,,,
39,3,0,,,,,,
40,3,1,,,3.1272174185960973,0.6130964602819018,4.345586399499167,0.9359141133233894
41,3,2,,,2.8734155681861884,0.6398546666809322,4.676631194303068,1.2663895140957453
42,3,3,,,3.0422406314294297,0.6743970110065901,4.166998823088559,0.9209216421741352
43,3,4,,,3.307324155408081,0.7943987124624386,4.5337220127651285,0.8152055537384755
44,3,5,,,4.362743634464573,1.0924913271428212,5.62331798968108,0.7424735370601029
45,3,6,,,,,6.182053245215191,0.6161004277765828
48,4,-3,-0.36,0.5,,,,
49,4,-2,-0.36,0.5,,,,
50,4,-1,-0.36,0.5,,,,
51,4,0,,,,,,
52,4,1,,,3.1669262706166914,0.5034321622716205,4.371102402692098,0.9483924348970656
53,4,2,,,2.855396602645813,0.6483398127447186,4.7162826874053705,1.2494331280471909
54,4,3,,,3.025602950951761,0.6448797942573895,4.198603896793133,0.9027601934486028
55,4,4,,,3.3039451409952925,0.8006907731486357,4.558867028745401,0.8070120486555601
56,4,5,,,4.325589151142387,1.065549816850636,5.645946940707703,0.7323139784782587
57,4,6,,,,,6.202821117756055,0.6319094528468643
60,5,-3,-0.35,0.5,,,,
61,5,-3,-0.34,0.5,,,,
62,5,-2,-0.35,0.5,,,,
63,5,-2,-0.34,0.5,,,,
64,5,-1,-0.35,0.5,,,,
65,5,-1,-0.34,0.5,,,,
66,5,0,,,,,,
67,5,1,,,3.086684203370357,0.6744669925894717,4.412514072080386,0.907757087915366
68,5,2,,,2.822282178209459,0.6239366477245083,4.728953443187506,1.2479589144831973
69,5,3,,,3.072222730337779,0.6517143054589618,4.230572965130994,0.8872017956847665
70,5,4,,,3.3324299052276407,0.7015498151592959,4.58865229022154,0.7997589551629248
71,5,5,,,4.389730138497281,1.0141593097759674,5.678861581694533,0.7165297612693089
72,5,6,,,,,6.228221845784553,0.6555558402836746
75,6,-3,-0.33,0.5,,,,
76,6,-2,-0.33,0.5,,,,
77,6,-1,-0.33,0.5,,,,
78,6,0,,,,,,
79,6,1,,,3.142965462854143,0.556050041696925,4.4294235654098415,0.9295208870855308
80,6,2,,,2.868367471902594,0.5959164116609752,4.7626590021724935,1.2259484240810714
81,6,3,,,3.0503810283441517,0.649923482233894,4.260995342662806,0.8808749295643552
82,6,4,,,3.383448358414182,0.6674656716919479,4.621095493704307,0.7961059262473501
83,6,5,,,4.465623718314552,1.005878988799688,5.705982963230042,0.7062529612101719
84,6,6,,,,,6.236034646139267,0.6844004295299865
87,7,-3,-0.32,0.5,,,,
88,7,-2,-0.32,0.5,,,,
89,7,-1,-0.32,0.5,,,,
90,7,0,,,,,,
91,7,1,,,3.1834239569074367,0.5708387665546167,4.449823959606322,0.9189335826817916
92,7,2,,,2.8982789401432547,0.621759367334009,4.788980423991831,1.218332167089648
93,7,3,,,3.0776160109454587,0.6209143048033161,4.292194943087014,0.8796498549703438
94,7,4,,,3.457469776374597,0.678778216621216,4.660182317784384,0.7890930054037916
95,7,5,,,4.513384690425107,0.92634729363619,5.746212461140348,0.6963486661499747
96,7,6,,,,,6.246576297579914,0.6966233287271101
99,8,-3,-0.31,0.5,,,,
100,8,-2,-0.31,0.5,,,,
101,8,-1,-0.31,0.5,,,,
102,8,0,,,,,,
103,8,1,,,3.2259138171342205,0.5109388460825909,4.506031789674399,0.9179431216531856
104,8,2,,,2.882988554578088,0.6043602791000316,4.832674906512443,1.2362669398523851
105,8,3,,,3.132157259024613,0.6139931966606814,4.326040757371503,0.872085611365816
106,8,4,,,3.5489467150838827,0.6586358110253998,4.702280867168799,0.7891227797115536
107,8,5,,,4.607820889908695,0.8645003175714862,5.784086274621907,0.6815678311986204
108,8,6,,,,,6.261454634554228,0.703036510716514
111,9,-2,-0.3,0.5,,,,
112,9,-2,-0.3,0.5,,,,
113,9,-1,-0.3,0.5,,,,
114,9,0,,,,,,
115,9,1,,,3.35157564017206,0.5126190525759846,4.554041590829529,0.908597728458842
116,9,2,,,3.0278653410705,0.6333444249637091,4.885055905903935,1.2054197457363591
117,9,3,,,3.2021290914207032,0.6440914619803234,4.406346453815521,0.8492414403149902
118,9,4,,,3.639930497212753,0.6214070226396223,4.796450515691889,0.7704558354897869
119,9,5,,,4.656047407606967,0.810706952435962,5.861842665678639,0.66639672744273
120,9,6,,,,,6.325186899028292,0.712447448694095
