,order,length_m,percentile,Q_decile,length_km
0,1,1170705685.9061563,ah05,0,1170705.6859061564
1,2,604000590.9940267,ah05,0,604000.5909940266
2,3,317087403.6551674,ah05,0,317087.40365516744
3,4,168230780.1600045,ah05,0,168230.7801600045
4,5,85819619.94798629,ah05,0,85819.61994798628
5,6,40217103.175718166,ah05,0,40217.10317571817
6,7,15103265.80339116,ah05,0,15103.265803391161
7,8,1172257.8343715733,ah05,0,1172.2578343715734
8,9,131974.29855987744,ah05,0,131.97429855987744
0,1,1364711523.046624,ah15,1,1364711.523046624
1,2,703744997.5877393,ah15,1,703744.9975877394
2,3,364391937.940346,ah15,1,364391.937940346
3,4,197774773.88253543,ah15,1,197774.77388253543
4,5,102761381.9733493,ah15,1,102761.3819733493
5,6,48382595.08706766,ah15,1,48382.59508706767
6,7,17938564.52376305,ah15,1,17938.56452376305
7,8,2866704.812322918,ah15,1,2866.704812322918
8,9,77786.71102189465,ah15,1,77.78671102189465
0,1,1531184572.507723,ah25,2,1531184.5725077232
1,2,789115286.0463792,ah25,2,789115.2860463792
2,3,407160223.9839448,ah25,2,407160.2239839448
3,4,221503211.64469925,ah25,2,221503.21164469924
4,5,116962854.29552212,ah25,2,116962.85429552212
5,6,54932143.94133034,ah25,2,54932.143941330345
6,7,21597804.024400678,ah25,2,21597.804024400677
7,8,4398242.772351423,ah25,2,4398.242772351424
8,9,41864.09803489684,ah25,2,41.86409803489684
0,1,1724542461.351509,ah35,3,1724542.4613515092
1,2,883818541.3222611,ah35,3,883818.5413222611
2,3,456525590.7154841,ah35,3,456525.5907154841
3,4,244918307.16817623,ah35,3,244918.30716817625
4,5,132745945.10860635,ah35,3,132745.94510860636
5,6,64101300.378245406,ah35,3,64101.30037824541
6,7,24815097.197917163,ah35,3,24815.097197917163
7,8,6833808.021948939,ah35,3,6833.808021948939
8,9,70198.74957468214,ah35,3,70.19874957468214
0,1,1954091882.1450765,ah45,4,1954091.8821450765
1,2,997703116.1902035,ah45,4,997703.1161902036
2,3,512841838.4356334,ah45,4,512841.83843563346
3,4,273848871.65780795,ah45,4,273848.87165780796
4,5,149428705.91711584,ah45,4,149428.70591711585
5,6,71917447.90215768,ah45,4,71917.44790215768
6,7,30461251.15126501,ah45,4,30461.251151265013
7,8,10304240.083036464,ah45,4,10304.240083036464
8,9,757296.4304738197,ah45,4,757.2964304738198
0,1,2214061053.8064785,ah55,5,2214061.0538064786
1,2,1130038425.9214303,ah55,5,1130038.4259214303
2,3,579483290.1313136,ah55,5,579483.2901313136
3,4,305159776.10954344,ah55,5,305159.77610954345
4,5,166415989.63961592,ah55,5,166415.98963961593
5,6,84111810.52957931,ah55,5,84111.8105295793
6,7,38325204.16045879,ah55,5,38325.20416045879
7,8,12748016.736144468,ah55,5,12748.01673614447
8,9,1592426.803859425,ah55,5,1592.426803859425
0,1,2529690939.4154677,ah65,6,2529690.939415468
1,2,1288642648.837949,ah65,6,1288642.6488379491
2,3,659903205.6121539,ah65,6,659903.2056121539
3,4,342884661.2098,ah65,6,342884.6612098
4,5,187600913.19295508,ah65,6,187600.91319295508
5,6,98122990.1857782,ah65,6,98122.99018577821
6,7,45606308.20578806,ah65,6,45606.30820578806
7,8,16235898.802034054,ah65,6,16235.898802034055
8,9,2876927.0143095558,ah65,6,2876.927014309556
0,1,2950275888.679758,ah75,7,2950275.888679758
1,2,1499016712.8716695,ah75,7,1499016.7128716696
2,3,765594792.4908203,ah75,7,765594.7924908203
3,4,395029343.2021736,ah75,7,395029.3432021736
4,5,212706128.25490472,ah75,7,212706.12825490473
5,6,114995677.89507549,ah75,7,114995.67789507548
6,7,55586049.13421736,ah75,7,55586.04913421736
7,8,20580233.268081546,ah75,7,20580.233268081545
8,9,5448873.528742625,ah75,7,5448.873528742625
9,10,198288.785886976,ah75,7,198.288785886976
0,1,3630520185.099087,ah85,8,3630520.185099087
1,2,1826223415.8342175,ah85,8,1826223.4158342176
2,3,930527950.854568,ah85,8,930527.950854568
3,4,479255363.3818588,ah85,8,479255.36338185886
4,5,253890623.42587316,ah85,8,253890.62342587317
5,6,137003152.32995874,ah85,8,137003.15232995874
6,7,71886610.02950227,ah85,8,71886.61002950228
7,8,30129738.200095613,ah85,8,30129.738200095613
8,9,7728009.635291105,ah85,8,7728.009635291105
9,10,1103476.5797217253,ah85,8,1103.4765797217253
0,1,5500977274.387116,ah95,9,5500977.274387117
1,2,2608717812.3740067,ah95,9,2608717.812374007
2,3,1328367778.1789613,ah95,9,1328367.7781789612
3,4,682535119.5644314,ah95,9,682535.1195644315
4,5,351239073.71257704,ah95,9,351239.07371257705
5,6,192234087.73537657,ah95,9,192234.08773537658
6,7,100844565.74386229,ah95,9,100844.56574386229
7,8,49600693.75398068,ah95,9,49600.69375398068
8,9,19296453.44634776,ah95,9,19296.453446347758
9,10,6226146.140036039,ah95,9,6226.1461400360395
10,11,754838.0257080392,ah95,9,754.8380257080391
