,Q_decile,da_oom,mu,sigma,loc,mean_width,median_width
0,0,-1.0,,,,,
1,0,-2.0,,,,,
2,0,-3.0,,,,,
3,0,-4.0,,,,,
4,1,-1.0,,,,,
5,1,-2.0,,,,,
6,1,-3.0,,,,,
7,1,-4.0,,,,,
8,2,-1.0,,,,,
9,2,-2.0,,,,,
10,2,-3.0,,,,,
11,2,-4.0,,,,,
12,3,-1.0,,,,,
13,3,-2.0,,,,,
14,3,-3.0,,,,,
15,3,-4.0,,,,,
16,4,-1.0,-0.7322445511817932,0.6736071705818176,0.0,0.5795817971229553,0.5486400127410889
17,4,-2.0,-1.2747316360473633,0.6768687963485718,0.0,0.3492499887943268,0.2793999910354614
18,4,-3.0,,,,,
19,4,-4.0,,,,,
20,5,-1.0,-0.7163971066474915,0.8842406868934631,0.0,0.6664758324623108,0.6299200057983398
21,5,-2.0,-0.7775632739067078,0.6264935731887817,0.0,0.5340542793273926,0.5689599514007568
22,5,-3.0,-2.1817526817321777,0.6141862273216248,0.0,0.13589000701904297,0.11429999768733978
23,5,-4.0,,,,,
24,6,-1.0,,,,,
25,6,-2.0,,,,,
26,6,-3.0,,,,,
27,6,-4.0,,,,,
28,7,-1.0,-0.2540501058101654,0.5215666890144348,0.0,0.8731691837310791,0.9283700585365295
29,7,-2.0,-0.839961588382721,0.8222579956054688,0.0,0.5545516014099121,0.4927600026130676
30,7,-3.0,-0.6988735795021057,0.41337355971336365,0.0,0.5398406982421875,0.5486400127410889
31,7,-4.0,,,,,
32,8,-1.0,,,,,
33,8,-2.0,,,,,
34,8,-3.0,,,,,
35,8,-4.0,,,,,
36,9,-1.0,0.23678594827651978,0.6797487735748291,0.0,1.5620070695877075,1.2344400882720947
37,9,-2.0,-0.5326245427131653,0.6739005446434021,0.0,0.7120493650436401,0.6629399657249451
38,9,-3.0,-0.7915911674499512,0.8533873558044434,0.0,0.652938723564148,0.3860799968242645
39,9,-4.0,-0.507857084274292,1.017914056777954,0.0,0.873633086681366,0.6515100002288818
