,Q_decile,order,mu,sigma,loc,mean_width,median_width
0,0,1,,,,,
1,0,2,,,,,
2,0,3,,,,,
3,1,1,,,,,
4,1,2,,,,,
5,1,3,,,,,
6,2,1,,,,,
7,2,2,,,,,
8,2,3,,,,,
9,3,1,-1.9846205711364746,0.5707752704620361,0.0,0.15876923501491547,0.14000000059604645
10,3,2,-1.844283103942871,0.47539207339286804,0.0,0.17555557191371918,0.17000000178813934
11,3,3,-1.0733842849731445,0.6282210350036621,0.0,0.3998529314994812,0.375
12,4,1,-1.785530686378479,0.5650277137756348,0.0,0.1962946504354477,0.17000000178813934
13,4,2,-1.4706474542617798,0.3973795771598816,0.0,0.2475675344467163,0.25
14,4,3,-1.0218268632888794,0.505882203578949,0.0,0.4003109335899353,0.3799999952316284
15,5,1,,,,,
16,5,2,,,,,
17,5,3,,,,,
18,6,1,-1.7653005123138428,0.7717930674552917,0.0,0.22734041512012482,0.1599999964237213
19,6,2,-1.684263825416565,0.6025274991989136,0.0,0.22075341641902924,0.19499999284744263
20,6,3,-0.8938882350921631,0.4632563591003418,0.0,0.452588826417923,0.4099999964237213
21,7,1,-1.7802369594573975,0.653995931148529,0.0,0.2087583839893341,0.17000000178813934
22,7,2,-1.6453430652618408,0.5451486706733704,0.0,0.22306382656097412,0.20000000298023224
23,7,3,-0.9756871461868286,0.5199293494224548,0.0,0.4239690601825714,0.4000000059604645
24,8,1,,,,,
25,8,2,,,,,
26,8,3,,,,,
27,9,1,-1.5441741943359375,0.6965795159339905,0.0,0.270248681306839,0.2199999988079071
28,9,2,-1.3561149835586548,0.5813450813293457,0.0,0.3033333718776703,0.25999999046325684
29,9,3,-0.6985042691230774,0.4769365191459656,0.0,0.5587525367736816,0.5
