,Q_decile,order,mu,sigma,loc,mean_width,median_width,n
0,4.0,1,-1.3075702,0.76707107,0,0.34188402,0.33020002,5
1,4.0,2,-1.4061059,0.6145751,0,0.30818665,0.2286,9
2,4.0,3,-0.46207386,0.37719604,0,0.6759222,0.61722,9
3,9.0,1,-0.6610288,0.77835655,0,0.6757598,0.51562,123
4,9.0,2,-0.34563762,0.68682736,0,0.8603776,0.82296,67
5,9.0,3,0.43237,0.58556867,0,1.8089788,1.478915,28
6,7.0,1,-0.86859107,0.7569934,0,0.52095604,0.46736,62
7,7.0,2,-0.7483742,0.84266543,0,0.6176682,0.53467,34
8,7.0,3,-0.18620214,0.46845013,0,0.9107236,0.94868994,38
9,5.0,1,-1.1426513,0.8222018,0,0.41411072,0.42671996,14
10,5.0,2,-0.83013445,0.6814029,0,0.51992697,0.56896,23
11,5.0,3,-0.70522857,0.8858664,0,0.67300725,0.62992,63
