,order,Q_decile,length_km
0,1,0,203088.9802787976
1,2,0,112317.86987721748
2,3,0,62688.48333027598
3,4,0,23843.94403557444
4,5,0,2504.915565911452
5,6,0,167.70334511024706
6,7,0,0.0
7,8,0,0.0
8,9,0,0.0
9,10,0,0.0
10,11,0,0.0
11,12,0,0.0
12,13,0,0.0
13,14,0,0.0
14,15,0,0.0
15,1,1,242463.2825265585
16,2,1,131818.6075008793
17,3,1,77412.7839182573
18,4,1,33385.30230824289
19,5,1,4229.158963226128
20,6,1,192.01447568334413
21,7,1,3.729959953866432
22,8,1,0.0
23,9,1,0.0
24,10,1,0.0
25,11,1,0.0
26,12,1,0.0
27,13,1,0.0
28,14,1,0.0
29,15,1,0.0
30,1,2,274017.69355336885
31,2,2,146669.21974244397
32,3,2,86814.85413944464
33,4,2,41851.32157595912
34,5,2,6130.267646120257
35,6,2,263.2458468411623
36,7,2,3.729959953866432
37,8,2,0.0
38,9,2,0.0
39,10,2,0.0
40,11,2,0.0
41,12,2,0.0
42,13,2,0.0
43,14,2,0.0
44,15,2,0.0
45,1,3,306979.446234229
46,2,3,162880.39825028746
47,3,3,95067.07065407708
48,4,3,50915.42604054984
49,5,3,8680.087584291849
50,6,3,357.4243179093367
51,7,3,28.41529362913133
52,8,3,0.0
53,9,3,0.0
54,10,3,0.0
55,11,3,0.0
56,12,3,0.0
57,13,3,0.0
58,14,3,0.0
59,15,3,0.0
60,1,4,345838.31388642325
61,2,4,181359.99596347232
62,3,4,103428.19234250822
63,4,4,60061.26370529471
64,5,4,13054.026934853491
65,6,4,493.2359018606352
66,7,4,28.41529362913133
67,8,4,0.0
68,9,4,0.0
69,10,4,0.0
70,11,4,0.0
71,12,4,0.0
72,13,4,0.0
73,14,4,0.0
74,15,4,0.0
75,1,5,390574.4516744689
76,2,5,204117.4956117076
77,3,5,113744.2717473422
78,4,5,68975.81971076423
79,5,5,19730.003414612565
80,6,5,725.4832465609269
81,7,5,50.40877918235023
82,8,5,0.0
83,9,5,0.0
84,10,5,0.0
85,11,5,0.0
86,12,5,0.0
87,13,5,0.0
88,14,5,0.0
89,15,5,0.0
90,1,6,447165.5851605476
91,2,6,233405.45501722995
92,3,6,127158.62005637986
93,4,6,76948.79621370483
94,5,6,29018.991872538347
95,6,6,1492.1046922246917
96,7,6,72.42640687119285
97,8,6,0.0
98,9,6,0.0
99,10,6,0.0
100,11,6,0.0
101,12,6,0.0
102,13,6,0.0
103,14,6,0.0
104,15,6,0.0
105,1,7,522560.1831092034
106,2,7,272530.9363441848
107,3,7,145999.5410423773
108,4,7,86363.85490385772
109,5,7,40720.685009360735
110,6,7,4541.594411400643
111,7,7,170.87803594476767
112,8,7,0.0
113,9,7,0.0
114,10,7,0.0
115,11,7,0.0
116,12,7,0.0
117,13,7,0.0
118,14,7,0.0
119,15,7,0.0
120,1,8,649850.5709418176
121,2,8,337060.2575157703
122,3,8,178401.88422763217
123,4,8,101807.69977303653
124,5,8,55164.22463110588
125,6,8,12555.648758105002
126,7,8,808.8460408696699
127,8,8,31.710695141770604
128,9,8,0.0
129,10,8,0.0
130,11,8,0.0
131,12,8,0.0
132,13,8,0.0
133,14,8,0.0
134,15,8,0.0
135,1,9,1156246.435428423
136,2,9,536309.6604739019
137,3,9,275326.46286766697
138,4,9,149107.00810025365
139,5,9,83406.29843713694
140,6,9,36835.46698129809
141,7,9,7771.667305042102
142,8,9,1245.022005183617
143,9,9,359.15048060643346
144,10,9,0.0
145,11,9,0.0
146,12,9,0.0
147,13,9,0.0
148,14,9,0.0
149,15,9,0.0
