,order,Q_decile,mu,sigma,loc,n,mean,median,min,max,n95,n90,n75,n25,n10,n05
0,1,0,4.620247904917009,1.059592431415373,0,220235,179.5288061369706,93.7473454393574,0.0591133033293761,3189.44995465258,7.5162946388392875,6.8045887187813,5.39526786994352,1.0314150137855378,0.417941637416835,0.18112683011991343
10,2,0,4.619769579762019,0.9689973912655914,0,176518,162.8177650857622,97.8292060759973,0.0600548744456838,3949.42946047557,7.803524854210989,7.231807011247307,5.68019417599547,1.16214795699586,0.30145388868491474,0.179725528542321
20,3,0,4.396637377627498,1.0502742824059925,0,165957,133.85155586052122,80.3857921818445,0.0591175193854697,2054.41165672261,2.7562360608621357,2.5312829062090336,1.89644011310839,0.36625189595061813,0.122708724298257,0.0612654266721955
30,4,0,4.666104059356231,1.086879575657182,0,72540,175.8932021275026,111.287233486635,0.0593104945275495,1898.24205544906,4.173290893643668,3.61594309977005,2.8857019014572955,0.6133645046155487,0.152509437492346,0.119944859290271
40,5,0,4.17621230735718,0.9720526514789839,0,167116,100.54977763693043,66.65957901797589,0.0592407731269352,2897.08801272641,2.45684933554112,2.18578299767326,1.6637355377603131,0.368795371536644,0.122858206422319,0.0612987472450774
50,6,0,4.093323914829389,0.9624645731244952,0,633361,87.95925244265645,61.6668465615168,0.0590376188266656,2306.11726477754,1.9636674059085304,1.91581759529341,1.4226400527995795,0.306660520409801,0.12089743482721915,0.0611988940821442
60,7,0,4.416102684869664,0.7922450550100057,0,900122,108.72270404931412,88.2574445705117,0.0590081869226815,2165.21018941562,7.34944815037409,6.78953782101992,5.394141892853944,1.0276696201984874,0.302280657421702,0.12095642220256853
70,8,0,5.370516700876187,0.8866964989471735,0,517104,298.69791391459995,224.892332656291,0.0593567213100516,3017.89694272636,20.157243983518423,19.331763487868866,16.958027542239293,5.334949552340565,1.5029483842894213,0.548792089735099
80,9,0,5.7436844900110815,0.5332201172457744,0,242293,361.15728340226974,301.344890327544,0.0590792513604151,2161.52164508201,121.09883898698233,118.80394642874248,109.04950999930146,33.88710882647787,23.496147081546273,13.032293093406539
90,10,0,6.501193067602333,0.4712726724036824,0,83405,727.4938353892162,675.949187967141,0.236542536983621,3662.22264180587,105.28571147353946,102.02011090747739,94.10156415657973,63.67124040982953,36.3871444075213,18.156309733713957
1,1,1,4.669967704070587,1.0372123152936326,0,219724,184.5914221654215,98.0392867600429,0.0592666607214981,3191.09998511523,8.59228859741616,8.0236596781082,6.177068147780974,1.22575272722076,0.42180762325657617,0.183962943310036
11,2,1,4.656882481327366,0.9497832173666444,0,176791,167.7675516897566,100.561200674145,0.0593185038456363,3949.42946047557,10.156532950338253,9.37390048418493,7.686905015292316,1.680573106251585,0.428547388851517,0.183962943310036
21,3,1,4.406570333774876,1.0539153846584843,0,165466,135.62015919709097,81.3535779898488,0.0591175193854697,2270.86649347796,2.69372644420954,2.3276644587946,1.77863101837685,0.3065673858808997,0.122686462192978,0.0612543278630158
31,4,1,4.709566579574932,1.0632715447868786,0,72405,180.62483734157306,115.639282071073,0.0597665241399368,1898.24205544906,5.21890877670728,4.8943802510798,3.54953585676437,0.7259675783645959,0.183896241735232,0.119944859290271
41,5,1,4.187746669564104,0.9570548665918698,0,165866,100.98055153422122,67.265718989401,0.0593904365481135,2897.44269305199,2.72439798779741,2.57174997677681,1.96049365351026,0.41346022422009,0.122730994484155,0.0613298524954707
51,6,1,4.149330137488648,0.933245651805472,0,632185,91.47467973344743,63.8904202223227,0.0590885038766663,2301.57441199951,2.596197299410386,2.3632163505494694,1.84464751666038,0.42152614636252794,0.122842466777056,0.0612876363610381
61,7,1,4.457210270197043,0.7708068447475543,0,899720,111.98072005454594,92.387855115937,0.0590081869226815,2161.75767958511,8.87552603173373,8.256475922028773,6.472891885501382,1.3301552239444283,0.36717054652971776,0.180877286250476
71,8,1,5.413764240533614,0.847955398349601,0,517644,305.48841774780266,235.055573178073,0.0593013702941692,2649.89089356941,26.282010216849514,25.2574746879089,21.90810849110033,8.909443487687096,2.3365620993574128,0.843492521168338
81,9,1,5.759578967704568,0.5328987888540799,0,242414,366.7441617572525,307.607153037673,0.0591204087553627,2522.43345351117,125.5561742635381,123.65506511196,113.5999506128069,33.3639560075741,23.6481635021451,11.911387825025432
91,10,1,6.574415137908552,0.46049543839217,0,83179,782.2104410216606,722.861864044566,1.12257131966877,2671.6431759044,117.22658295435498,113.511909947935,107.053890037858,75.65745915107031,48.310267239994204,31.6850430089053
2,1,2,4.712155422050791,1.020425294102005,0,219211,189.71679944873893,103.850507634605,0.0592946518048453,3215.49686409877,10.103853816847952,9.58791269091378,7.55957637780335,1.78121576826731,0.49101309102029,0.24241841352664645
12,2,2,4.6942512194107815,0.9367270263557196,0,176651,172.67635998422514,105.112853851412,0.0594431384373612,3961.68415701433,11.680635575959467,11.0930621813479,8.717766979794654,1.68060659342482,0.428547388851517,0.183962943310036
22,3,2,4.428528469432729,1.0440534233903906,0,165300,138.35878842952027,82.9533877141527,0.0591175193854697,2525.98227178514,3.065871776670235,2.8171887214231,2.14312498064735,0.3671433621391227,0.122708724298257,0.0612765295041404
32,4,2,4.728377795827654,1.0466652244155839,0,72418,182.00419350067668,118.30565653302801,0.0595923706221871,1932.55048057865,5.83183905798211,5.47159125070296,4.42072272850499,0.9203367358348955,0.24240910989617934,0.119944859290271
42,5,2,4.2283477293526905,0.9437874061120505,0,165681,104.23778831080799,69.4086650312659,0.0594565282863643,2912.51660688915,3.009006446583749,2.82230065885991,2.06914654469737,0.4290445706436416,0.182227778175586,0.109711276094259
52,6,2,4.189772872791425,0.9110166521699414,0,631149,93.74337148411212,66.3636242164349,0.0590376188266656,2358.80255738515,3.0113636442326155,2.831578796923401,2.19878252040074,0.485940741801562,0.18122497319974556,0.0613543621491284
62,7,2,4.484743869619674,0.7607716590291858,0,900426,114.41247058324426,94.0446254214862,0.0590081869226815,2163.73488880415,10.082164457521555,9.45717290111397,7.43205585623251,1.4993485512757019,0.36750259858049,0.18121864465812
72,8,2,5.444565205894032,0.8245386609922966,0,517400,310.5360970120054,243.90860582118,0.0594632812252347,2837.57456754336,27.42601732412094,27.1419682058334,25.25247951224565,11.503968187931612,3.4187649392464206,1.20300008001237
82,9,2,5.78467016391079,0.5276955447244159,0,242511,375.0269977758928,318.575430967268,0.0590946983744507,2375.08939817589,136.479005347884,135.003844359438,127.55124882095953,37.54109950022522,25.333263983235,14.267648855430977
92,10,2,6.625787958048799,0.46171679826981527,0,83601,827.0274791029171,754.018911937244,2.3653513809288,2755.63139036571,134.102719110338,129.6678061019176,123.593948486267,93.0646474944379,68.95382594819424,49.67631369836974
3,1,3,4.744177993654171,1.0132175241916943,0,219578,194.45806141090583,108.7746796198745,0.0592946518048453,3201.41267550683,11.1777866462614,10.441947228594874,8.060957107670218,1.8388475238293238,0.5471447779892712,0.24173728796487906
13,2,3,4.718715012012792,0.9204357701392473,0,176230,175.06388417684263,107.850536019333,0.0592009901888337,3951.0202143532,13.2562482470152,12.56659805323514,10.341555821720371,2.1209507066359956,0.489413989222142,0.243570472063837
23,3,3,4.432688861428991,1.045664101086299,0,165542,138.67093556540848,83.6862067069233,0.0591348936050034,2518.61060278069,2.88208611185724,2.69372644420954,1.96369591174648,0.367859172950695,0.1227430470287211,0.0612765295041404
33,4,3,4.749895045195371,1.0353053134795804,0,72394,184.8458335105647,121.214223239834,0.0597665241399368,1917.02016076956,6.92299321395809,6.20467166972902,4.90745848771911,1.0204790932043255,0.3034075047063378,0.12119755703779107
43,5,3,4.243473975096414,0.9330729538392633,0,165320,104.91375597253443,69.8202686189257,0.0594887423181182,2934.8614674007,3.34391847672455,2.998701315553912,2.20276149709347,0.429013454527266,0.182227778175586,0.119885855506083
53,6,3,4.222942855268389,0.8969796006825852,0,628526,96.14179460904855,68.35167799954576,0.0590376188266656,2321.16177722428,3.391413755095282,3.14743437770949,2.39282012381601,0.5522205767910751,0.1837138948757034,0.119435414490541
63,7,3,4.513965932406932,0.7513839175740419,0,899741,117.35555792200041,95.9023152394533,0.0592333192628297,2262.56806539784,11.1929831171412,10.3664758508901,8.14715120475127,1.68600457548592,0.478497357347582,0.183431846446604
73,8,3,5.467875055018562,0.8073272290307453,0,517526,315.0102434682728,248.6082678388305,0.0594644115441639,3214.64973681075,29.556702181025,28.843969057643736,27.347868800232206,13.370167301195893,4.267349515295873,1.2791062831492601
83,9,3,5.795496185110958,0.5295618447081355,0,242270,379.6404858431022,322.369880281778,0.0591202195521733,2380.04610648512,139.99689227735138,137.84790985407113,130.547096455453,35.612834855507,24.873450984102774,14.122755521890115
93,10,3,6.640593296816441,0.4595416365131716,0,83351,838.4346635402503,769.880717994163,0.294531956928469,2681.18232471179,134.9975233917523,134.101890476912,126.73063945406763,93.73954154378423,68.1501919898656,47.340740094697196
