,order,Q_decile,mu,sigma,loc,n,mean,median,min,max,n95,n90,n75,n25,n10,n05
0,4,0,5.43247845645247,0.6114758643409327,0,2341969,276.6810000750676,220.701741822648,90.0129540115191,1898.24205544906,91.6865640880045,91.6129324272983,91.4858585496817,90.5097681085379,90.1459154486118,90.1369061542783
1,5,0,5.05636515082805,0.5366470468069734,0,3936808,193.13844415066808,131.71575155901,90.0028776486033,2897.08801272641,90.8892102200103,90.8284147616692,90.6430553742422,90.248749365155,90.1334091479572,90.0614167368181
2,6,0,5.0809633603119995,0.4315597494230229,0,11726009,179.47742995811222,151.966212178369,90.0009567122961,2263.57964331048,91.0994648636363,91.0741591942952,90.8895647234194,90.3195064340167,90.1418422219178,90.0849334365779
3,7,0,4.993570370601545,0.42212648644693945,0,28165842,165.62178281368148,132.948742417593,90.00321042813,2165.21018941562,91.0472605607547,91.0131289410802,90.8365055460642,90.2964835248569,90.1270921827728,90.0761994707791
4,8,0,5.697202548900415,0.6384068008724963,0,23019387,361.48294939928627,331.972354250384,90.0062146961216,2438.56887184232,92.6528293834546,92.4785204254301,92.31061642437,91.4403552752633,90.7186672749349,90.29251406953685
5,9,0,5.860967406232743,0.49195678014533817,0,8654633,398.3275805240612,348.579543555364,90.1605400151492,2093.12178072094,137.457237171389,136.305352066003,130.926182818303,109.561946708299,97.9941895875146,94.226826487908
6,10,0,6.55056821383349,0.4250457300565278,0,4917016,754.9149851701329,723.095732036842,90.0770342504726,3662.22264180587,121.736433015131,121.268777176507,119.120768745894,99.7997918100069,93.9115703070918,92.9882203064393
7,4,1,5.461096613657418,0.5938028329513233,0,2142786,280.8674499329269,247.297726186911,90.0231844541276,1898.24205544906,91.9755923236177,91.8255233731259,91.5393452397939,90.5916581090354,90.1459154486118,90.1132064807422
8,5,1,5.1104920040337625,0.5942784051920834,0,3302915,213.8566907578234,135.601423820257,90.0028776486033,2897.44269305199,90.8892351762933,90.8726799904443,90.6893786350698,90.3010569365697,90.1582594507264,90.0684701033773
9,6,1,5.062091844764926,0.4364690143198473,0,10282479,177.0798470901465,144.666402138017,90.0002895038651,2306.11726477754,91.0978595418564,91.069044382683,90.8895647234194,90.3297203798827,90.1377719349952,90.0762911050532
10,7,1,4.989609910461681,0.41989162000801505,0,24825437,164.67409538074662,131.883926682091,90.0001189395378,2161.75767958511,91.036626215183,90.973571315843,90.8199270662727,90.3139214588476,90.1350391210246,90.0761994707791
11,8,1,5.67782130973423,0.638876107805793,0,20778160,356.1899198512089,318.263672157666,90.0023833371932,3017.89694272636,92.691731915442,92.5080807838783,92.3186796268575,91.2842830874516,90.6446793115017,90.3405154355368
12,9,1,5.81824926360415,0.5007759721167959,0,11046621,383.9633948720655,332.369746478684,90.0110721941803,2117.56635290123,137.079912532373,135.92286751755,131.149055332445,109.493221180822,97.1133147439119,94.1969091449119
13,10,1,6.608793247509496,0.4248557836944212,0,5110875,802.8373530997096,751.108694915062,90.1418125154135,2755.63139036571,137.977915143843,135.977213132328,132.427299160544,105.930603355372,94.8297965442921,93.4982623505477
