,order,Q_decile,mu,sigma,loc,n,mean,median,min,max,n95,n90,n75,n25,n10,n05
0,4,0,4.666104059356231,1.0868795756571823,0,72540,175.89320212750255,111.287233486635,0.0593104945275495,1898.24205544906,4.173290893643668,3.61594309977005,2.8857019014572955,0.6133645046155487,0.152509437492346,0.119944859290271
10,5,0,4.17621230735718,0.9720526514789839,0,167116,100.54977763693043,66.65957901797589,0.0592407731269352,2897.08801272641,2.45684933554112,2.18578299767326,1.6637355377603131,0.368795371536644,0.122858206422319,0.0612987472450774
20,6,0,4.093323914829389,0.9624645731244953,0,633361,87.95925244265644,61.6668465615168,0.0590376188266656,2306.11726477754,1.9636674059085304,1.91581759529341,1.4226400527995795,0.306660520409801,0.12089743482721915,0.0611988940821442
30,7,0,4.4161026848696645,0.7922450550100054,0,900122,108.72270404931417,88.2574445705117,0.0590081869226815,2165.21018941562,7.34944815037409,6.78953782101992,5.394141892853944,1.0276696201984874,0.302280657421702,0.12095642220256853
40,8,0,5.370516700876186,0.8866964989471735,0,517104,298.69791391459995,224.892332656291,0.0593567213100516,3017.89694272636,20.157243983518423,19.331763487868866,16.958027542239293,5.334949552340565,1.5029483842894213,0.548792089735099
50,9,0,5.7436844900110815,0.5332201172457746,0,242293,361.1572834022697,301.344890327544,0.0590792513604151,2161.52164508201,121.09883898698233,118.80394642874248,109.04950999930146,33.88710882647787,23.496147081546273,13.032293093406539
60,10,0,6.501193067602334,0.47127267240368237,0,83405,727.4938353892163,675.949187967141,0.236542536983621,3662.22264180587,105.28571147353946,102.02011090747739,94.10156415657973,63.67124040982953,36.3871444075213,18.156309733713957
1,4,1,4.709566579574932,1.0632715447868786,0,72405,180.62483734157303,115.639282071073,0.0597665241399368,1898.24205544906,5.21890877670728,4.8943802510798,3.54953585676437,0.7259675783645959,0.183896241735232,0.119944859290271
11,5,1,4.187746669564105,0.9570548665918697,0,165866,100.98055153422122,67.265718989401,0.0593904365481135,2897.44269305199,2.72439798779741,2.57174997677681,1.96049365351026,0.41346022422009,0.122730994484155,0.0613298524954707
21,6,1,4.149330137488649,0.9332456518054721,0,632185,91.47467973344743,63.8904202223227,0.0590885038766663,2301.57441199951,2.596197299410386,2.3632163505494694,1.84464751666038,0.42152614636252794,0.122842466777056,0.0612876363610381
31,7,1,4.4572102701970415,0.7708068447475543,0,899720,111.98072005454594,92.387855115937,0.0590081869226815,2161.75767958511,8.87552603173373,8.256475922028773,6.472891885501382,1.3301552239444283,0.36717054652971776,0.180877286250476
41,8,1,5.413764240533615,0.847955398349601,0,517644,305.4884177478027,235.055573178073,0.0593013702941692,2649.89089356941,26.282010216849514,25.2574746879089,21.90810849110033,8.909443487687096,2.3365620993574128,0.843492521168338
51,9,1,5.759578967704569,0.5328987888540798,0,242414,366.74416175725264,307.607153037673,0.0591204087553627,2522.43345351117,125.5561742635381,123.65506511196,113.5999506128069,33.3639560075741,23.6481635021451,11.911387825025432
61,10,1,6.574415137908552,0.46049543839217005,0,83179,782.2104410216606,722.861864044566,1.12257131966877,2671.6431759044,117.22658295435498,113.511909947935,107.053890037858,75.65745915107031,48.310267239994204,31.6850430089053
2,4,2,4.728377795827653,1.0466652244155839,0,72418,182.00419350067668,118.30565653302801,0.0595923706221871,1932.55048057865,5.83183905798211,5.47159125070296,4.42072272850499,0.9203367358348955,0.24240910989617934,0.119944859290271
12,5,2,4.2283477293526905,0.9437874061120505,0,165681,104.23778831080794,69.4086650312659,0.0594565282863643,2912.51660688915,3.009006446583749,2.82230065885991,2.06914654469737,0.4290445706436416,0.182227778175586,0.109711276094259
22,6,2,4.189772872791425,0.9110166521699417,0,631149,93.74337148411209,66.3636242164349,0.0590376188266656,2358.80255738515,3.0113636442326155,2.831578796923401,2.19878252040074,0.485940741801562,0.18122497319974556,0.0613543621491284
32,7,2,4.484743869619675,0.7607716590291858,0,900426,114.41247058324416,94.0446254214862,0.0590081869226815,2163.73488880415,10.082164457521555,9.45717290111397,7.43205585623251,1.4993485512757019,0.36750259858049,0.18121864465812
42,8,2,5.444565205894032,0.8245386609922966,0,517400,310.5360970120054,243.90860582118,0.0594632812252347,2837.57456754336,27.42601732412094,27.1419682058334,25.25247951224565,11.503968187931612,3.4187649392464206,1.20300008001237
52,9,2,5.78467016391079,0.5276955447244158,0,242511,375.0269977758929,318.575430967268,0.0590946983744507,2375.08939817589,136.479005347884,135.003844359438,127.55124882095953,37.54109950022522,25.333263983235,14.267648855430977
62,10,2,6.625787958048799,0.46171679826981527,0,83601,827.027479102917,754.018911937244,2.3653513809288,2755.63139036571,134.102719110338,129.6678061019176,123.593948486267,93.0646474944379,68.95382594819424,49.67631369836974
3,4,3,4.749895045195372,1.0353053134795804,0,72394,184.8458335105647,121.214223239834,0.0597665241399368,1917.02016076956,6.92299321395809,6.20467166972902,4.90745848771911,1.0204790932043255,0.3034075047063378,0.12119755703779107
13,5,3,4.243473975096413,0.9330729538392633,0,165320,104.91375597253446,69.8202686189257,0.0594887423181182,2934.8614674007,3.34391847672455,2.998701315553912,2.20276149709347,0.429013454527266,0.182227778175586,0.119885855506083
23,6,3,4.222942855268389,0.8969796006825852,0,628526,96.14179460904856,68.35167799954576,0.0590376188266656,2321.16177722428,3.391413755095282,3.14743437770949,2.39282012381601,0.5522205767910751,0.1837138948757034,0.119435414490541
