,order,Q_decile,mu,sigma,loc,n,mean,median,min,max,n95,n90,n75,n25,n10,n05
0,4,0,4.840998174059083,0.8670131876877588,0,4003404,185.7668728046475,112.171519316857,30.0068816779862,1898.24205544906,30.8402702596883,30.8297979517424,30.802344854724,30.3145556375863,30.2068346350023,30.1031423197985
1,5,0,4.4213749646981775,0.6728682058255152,0,9677947,112.14059394373405,75.255130020622,30.0022830909238,2897.08801272641,30.6827486210387,30.6491475547414,30.5633757213083,30.2317689038288,30.1256915684086,30.0525732075977
2,6,0,4.478323473808676,0.6587662720241713,0,26213219,111.75032861680269,82.8439289938381,30.0018894906812,2263.57964331048,30.5661678408914,30.5596641080865,30.475207358583,30.2354623696142,30.1391747958303,30.0634821494265
3,7,0,4.6148184129110685,0.5803959807095485,0,48887258,122.25006504130656,97.716905946706,30.0004073866432,2165.21018941562,31.2566945441294,31.2510300471116,31.0798731144215,30.5287482348183,30.2716949022823,30.1785188321363
4,8,0,5.563974715584696,0.7623486319871735,0,25145763,336.9405337575762,305.418905924844,30.0129467297415,2489.18393274374,38.3398573479654,37.3893196055889,35.2128327444668,31.0545068521783,30.6416658891646,30.3588617240808
5,9,0,5.855677114320976,0.5044360215426228,0,8722389,397.7601325909881,348.326197720124,30.1426656683642,2093.12178072094,124.882265911815,123.060283670311,117.433626697891,71.8399681501004,42.4359292541607,35.0715558777902
6,10,0,6.535348312573759,0.46023619484213135,0,5030783,749.8864900665419,720.063111161025,30.3250681678688,3662.22264180587,106.122399483907,104.532428876155,96.6817705283381,69.0631200577848,53.05671510136019,42.4892439139597
7,4,1,4.876522767374324,0.8686141117301229,0,3594301,190.8958237215849,119.550334055822,30.0022830909238,1898.24205544906,30.932482638113,30.8334232807584,30.802344854724,30.383890450516,30.2014004296887,30.1031423197985
8,5,1,4.458660265505079,0.7169436070730112,0,7887947,122.63726763778875,77.8511456588798,30.0008105862322,2897.44269305199,30.684721049036,30.6662551499127,30.563572594461,30.2320944020429,30.1083389861928,30.0540966498351
9,6,1,4.437206162931606,0.6515178621458877,0,24455923,107.27391444636682,78.1530637753623,30.0005672758451,2306.11726477754,30.5592579301516,30.5214787306362,30.4381552413037,30.2320944020429,30.117297809954,30.0542792168148
10,7,1,4.6060522070257015,0.5792893891043813,0,43617659,121.00880073624216,97.4059759634018,30.0004073866432,2161.75767958511,31.2511081281832,31.2404210236274,31.0469812655842,30.4926200070719,30.2354623696143,30.1686067736944
11,8,1,5.473095032209485,0.81194005820409,0,23938449,318.79973514435665,274.773707986058,30.0003345725571,3066.50211660535,33.6231597501563,33.2267206283528,32.696234910472,31.0316858191418,30.4907526940512,30.3542893719318
12,9,1,5.813316482634252,0.5119949976408257,0,11118714,383.4409920513619,332.260528336881,30.1426656683642,2522.43345351117,126.29568444458,124.672198636849,119.703866697653,75.3845620578424,42.4616490763095,33.3639560075741
13,10,1,6.599707093757488,0.44718012315986017,0,5204793,799.7626779165336,749.55264355497,30.1162742235501,2755.63139036571,126.058452532176,122.879170797642,114.900502642228,82.538128473862,62.1667133292286,49.0065434067345
14,4,2,4.819559375817658,0.8509510278408564,0,3340342,180.35375396823187,108.713157960416,30.0069713008999,1932.55048057865,31.1397636004993,31.0572143235618,30.9019384524328,30.4080830503426,30.2055940239999,30.1031423197985
15,5,2,4.458900627545134,0.6935172460520165,0,7630398,119.46830962918264,80.7158170874871,30.0010729310247,2934.8614674007,30.6855911904765,30.6716155482445,30.5658811214003,30.2320944020429,30.0854741245478,30.0363861500879
16,6,2,4.434683031825771,0.6503364664672615,0,23269087,106.84969510521147,77.5142093849586,30.0005672758451,2301.57441199951,30.5659096036449,30.5483519416649,30.4639631630224,30.2320944020429,30.1065416042466,30.051359889873
17,7,2,4.631546582249229,0.5797681922490634,0,42874717,123.86010590845387,100.067559666688,30.0004073866432,2161.75767958511,31.2512990956139,31.2350380962174,31.0561264211483,30.515946974098,30.2354623696143,30.1720097759091
18,8,2,5.4402878991904,0.7794423223273851,0,23367131,306.4270177456917,233.547983898559,30.0006342388521,2905.618855368,36.4268349925642,35.8768852221559,34.5029315468012,31.0564688641006,30.5430013876363,30.3568265840832
19,9,2,5.859116297179947,0.5019691766421428,0,9794005,398.6504259463667,352.46976654337,30.0501630184848,2380.04610648512,137.15256400324,135.949994823631,128.02161561652,69.1934688594034,39.9769915345339,32.456186223791
20,10,2,6.663125829511801,0.43605848355063037,0,4959923,848.8392344025575,800.364824840709,31.0374702259008,2681.18232471179,134.7324348081,133.609205705042,126.187844023766,94.8368209927275,78.6526136405471,64.7591316781019
21,4,3,4.869891552585389,0.8722910823329671,0,2904006,191.20130477322286,120.118112687309,30.0022830909238,1883.89274855321,30.8474154522944,30.8297979517424,30.7329698862088,30.3528575877027,30.2017237372383,30.097684897333
22,5,3,4.472888968014808,0.7100222199428677,0,6650880,123.48667651868492,81.1499485478383,30.0026248981119,2921.14716147826,30.684721049036,30.6662551499127,30.5658811214003,30.2320944020429,30.082380342804,30.0499996814607
23,6,3,4.422669919485293,0.6536121124157264,0,24231303,106.14525647554389,76.0980149133515,30.0022830909238,2358.80255738515,30.5310507445267,30.4931179881169,30.4256181517732,30.2314041906505,30.1012219987851,30.0418324576401
24,7,3,4.621735303990533,0.5859083256591002,0,44649041,123.03836078039927,98.8720047136,30.0004073866432,2148.9651627009,31.2345186250384,31.2108374216735,31.0281875163248,30.4973927920657,30.2351440416934,30.1793049318531
25,8,3,5.406303943058328,0.7890538452190549,0,22612548,298.0620974590034,222.822396465154,30.0006342388521,2889.5953302649,35.0221389724953,34.6933468656847,33.6027713012736,31.0469086151045,30.5754071542331,30.3542893719318
26,9,3,5.824988551756616,0.5055911965965978,0,10381482,387.1104875149931,337.940771306267,30.0319232653896,2395.03424827734,143.558594318029,140.925441936764,134.705105213414,64.9120664468101,35.9556373565039,31.7220566384234
27,10,3,6.657892533367879,0.4576602849766482,0,4725200,852.1096186293037,795.404988807896,30.9960734354798,2767.56534200495,135.714706680645,134.965968028861,128.683524322265,95.2841648545195,75.4081942446861,57.2261974551088
28,4,4,4.845284195581842,0.8630426153850868,0,3201203,186.0207427158313,112.439213493563,30.0022830909238,1919.08693336773,30.7608178110785,30.6939787627699,30.6306449110646,30.3203435171047,30.1803760103185,30.097684897333
29,5,4,4.434447365373545,0.6940597421197923,0,7417962,117.37295484670771,75.7985409034836,30.0010729310247,2921.14716147826,30.684721049036,30.6665749521386,30.5658811214003,30.2310779921988,30.0591175323897,30.0363861500879
30,6,4,4.413785004066086,0.6541753160962946,0,25418940,105.27549188880612,74.5619506194328,30.0018894906812,2333.61037379786,30.5133527789666,30.4838904655985,30.4207236246523,30.2320944020429,30.1249346943439,30.0637389310776
31,7,4,4.653557833699526,0.5934475157109639,0,43546848,127.30710702443407,105.419818634393,30.0004073866432,2163.73488880415,31.196895372757,31.1400419618464,30.9832882686453,30.4864609620425,30.2344477227345,30.178190324328
32,8,4,5.386110196510091,0.7766810599198539,0,24884343,290.7158949358843,213.336778888236,30.0006342388521,3214.64973681075,36.6273589547226,36.0429619222734,34.5368703057592,31.0662462940929,30.6696821707111,30.365828156974
33,9,4,5.830762345508785,0.5067667494656247,0,10870144,389.1896783099526,339.773480105887,30.1121057664845,2448.37787103389,149.453492446716,148.6541587109,142.235658463195,72.0938389690985,39.0278073929466,31.7220566384234
34,10,4,6.70653876681754,0.43013769446672157,0,3854468,888.5104716461487,817.115345962244,30.3277033270224,2924.55959436509,156.798324742507,151.980348057319,148.972541042937,114.900502642228,89.5252039941555,68.9640172481071
35,4,5,4.874649592361838,0.8918137157071543,0,3042939,194.6694479186653,120.17952276537,30.0069713008999,1930.01130281519,30.7503904577277,30.6817297523847,30.6233610052537,30.2995153074532,30.1676751331749,30.06669883522
36,5,5,4.448010056475217,0.695208701600167,0,7988126,119.49568380826351,77.3834142154739,30.0010729310247,2934.8614674007,30.6855911904765,30.6727593606824,30.5706822428415,30.2331108802354,30.097684897333,30.0478043178758
37,6,5,4.390159508010003,0.6417143942624731,0,28515236,102.00290155023671,71.76082910615949,30.0001568583319,2301.57441199951,30.5328059722701,30.498693189311,30.4299916945233,30.2314041906505,30.1065096803343,30.0540966498351
38,7,5,4.641701217986072,0.6075845625309608,0,45553983,126.82544598083008,103.547538536047,30.0004073866432,2262.56806539784,31.0743253607322,31.039645022374,30.8772608474957,30.4822323108236,30.2331870998764,30.1464569133335
39,8,5,5.427699663973601,0.7534692543616714,0,23662813,298.07103100769785,228.151991243795,30.0356106020912,3723.23100575732,39.2223980735619,38.7759892940879,36.6273589547226,31.2254182215981,30.6802756669005,30.4927249685374
40,9,5,5.81069363355131,0.5181014782083496,0,12444678,384.02909715527346,329.723434974995,30.0199618021624,2526.23348699309,141.745560345508,139.073836047208,133.238050659762,48.988160784201966,33.2112204864413,31.0716886955994
41,10,5,6.74231501850454,0.45359028863368916,0,3731309,928.6367724870714,850.67055804901,31.6459124375866,3166.99305774495,156.356156018275,153.684115495356,149.847600173725,120.168869299298,91.1566611881027,78.6430136152185
42,4,6,4.823703682230522,0.8853678415480164,0,3305892,187.68748369641432,105.040323415201,30.0022830909238,1950.12388261301,30.691027512386,30.6817297523847,30.6495510750366,30.3067508981489,30.2014004296887,30.0537591216444
43,5,6,4.436676522662625,0.6831812545645382,0,7816561,115.03946322432012,76.7341536373208,30.0010729310246,2921.14716147826,30.684721049036,30.6757489083784,30.5708931540512,30.2331108802354,30.096891568534,30.0478043178758
44,6,6,4.3969231598545475,0.6396044236337314,0,30836721,102.26979741232985,74.023914306678,30.0013929478021,2332.78440056549,30.5012670919492,30.4817374402798,30.4171314592726,30.2307505191052,30.0974931357397,30.0472807406393
45,7,6,4.664878429861297,0.6138429982365112,0,50939210,130.14058542295257,107.760532177348,30.0004073866432,2161.75767958511,31.1348990943789,31.0837145609765,30.9450852325557,30.4864609620424,30.2331108802354,30.1504242771347
46,8,6,5.453968866870473,0.730188574227648,0,25202186,301.7950024756187,230.865431871137,30.0053037659472,3591.66601568782,40.9214272071526,40.4792933396721,38.5070556851343,31.7098849353075,30.6910023632268,30.5754071542331
47,9,6,5.798926365810717,0.515847920026587,0,12063765,379.37669738973335,325.236958730293,30.1208976893246,2571.33278219184,141.977136696752,139.296431043721,132.62339948249,54.1502377082507,33.9555155112545,31.7220566384234
48,10,6,6.786580249803546,0.404140934904578,0,4333902,957.4091163412104,870.11821212766,30.3761835939189,3425.12581035088,231.801480831077,220.605932966807,201.969766590451,148.305010448464,125.700492866336,108.906852269373
49,4,7,4.838934263678985,0.8908996554171499,0,3229543,190.33695847549424,109.465008841672,30.0022830909238,1936.19873138247,30.6883674805332,30.679084316545,30.6233610052537,30.3098528391523,30.2046152489576,30.1031423197985
50,5,7,4.426680830053402,0.6902664133040796,0,8643250,115.58591315867449,74.4894036151002,30.0010729310247,2934.8614674007,30.684721049036,30.6726344075553,30.5707432808112,30.2327873571674,30.0678480341418,30.0472807406393
51,6,7,4.42961798330865,0.6487026761776057,0,32127435,106.3985686468751,77.9733780782372,30.0004073866432,2309.83414432321,30.5558652678338,30.5133527789666,30.4509843676697,30.2322536765793,30.1213767712668,30.064981871367
52,7,7,4.682551245034193,0.6267662872222156,0,49875374,133.49800465324518,110.236076788814,30.0000231434779,2249.70865831203,31.0688895333939,31.039645022374,30.8748649828926,30.4822323108236,30.2310779921988,30.1344121629364
