,da_oom,Q_decile,mu,sigma,loc,n,mean,median,min,max,n95,n90,n75,n25,n10,n05
0,0,0,,,,0,,,,,,,,,,
10,1,0,4.29621393053845,0.9377454077171931,0.0,679,119.08781113538608,61.0306221340206,1.10177951058458,1076.539034077916,7.6202031681341635,7.573598900737008,5.742269597845303,2.8469098998845324,2.227399960493694,1.664589735539137
20,2,0,4.625367317973069,1.2920400024085168,0.0,1357,243.21923914772375,78.438957524651,0.299101574948391,2651.563036922505,5.517441405721287,5.184798200798732,4.995025191559678,0.958639615372401,0.37209801756342636,0.3044908717601604
30,3,0,4.084857011206363,0.9819293624825576,0.0,27368,107.33541767503772,52.85344011250736,0.0593584449316179,4585.60948591965,6.527844019093753,6.265045613695267,4.992714125868291,1.271902513825435,0.44705827653218155,0.18407181486823102
40,4,0,4.411940914706421,0.8871579205617471,0.0,63491,128.2351864956965,78.91744020884573,0.0591418461526027,4611.827224945714,12.060989782485658,11.740019293669539,10.64251885293568,4.450885188684694,1.3629634283749903,0.42501465960254703
50,5,0,5.5329304879432355,0.7946822578555636,0.0,26196,347.18487797702716,237.5641243835578,2.4660896181245344,4200.667270955874,47.18465818789493,46.22200810784222,43.49636745194885,30.203481805778267,22.55400981303582,17.574500218795244
60,6,0,6.089245249209572,0.5674070807184782,0.0,7053,516.7871323382989,438.5871527480027,50.338827513826466,1723.1524849451469,178.93713984598872,178.31089367630523,176.12830222197124,157.62469705497026,139.90312914047885,119.93936408486506
70,7,0,,,,0,,,,,,,,,,
80,8,0,,,,0,,,,,,,,,,
1,0,1,,,,0,,,,,,,,,,
11,1,1,4.314401974952945,0.9272872104343945,0.0,679,120.27025532980636,61.38760087761308,1.10177951058458,1112.5363099326228,7.436463696612995,7.361803233422422,6.52829738031541,4.5453094674066445,2.7284579879412907,1.9151187492629353
21,2,1,4.634512126150268,1.2845965282551215,0.0,1357,244.12547296615324,76.42919303214316,0.0601352105448138,2634.875310380064,9.584600666620851,8.91115560904412,7.949460894598179,0.9359867161824278,0.37209801756342636,0.2275437024222085
31,3,1,4.118010209456491,0.9494162090240253,0.0,27368,109.30959447213743,53.578577444543065,0.0604133407813905,4665.538831127758,8.75418148763823,8.594762003451848,7.505598818820732,2.9705634699937717,1.0431879197119283,0.47677125889109906
41,4,1,4.467405622200695,0.8511109477311357,0.0,63491,132.15238420976252,83.06100127946485,0.0591418461526027,5128.207374047374,15.208051260707302,14.9147189632587,13.665856132590292,6.330364706890562,2.5774425712750366,0.9755367539148654
51,5,1,5.565984788386193,0.7721602280814276,0.0,26196,353.4610678853697,244.08191225193906,9.70681897512035,4240.277011133281,50.697735413558966,49.59456392259467,46.925981839578675,32.29993093485035,24.228321139469266,19.66255368232759
61,6,1,6.135406876056395,0.5939976569640304,0.0,7053,549.0041154756619,456.2755120583434,47.256950208712084,1887.5114428815273,179.8499176727744,179.63582538997176,178.4209079527344,171.27547087598896,165.20861467577367,144.59384266871794
71,7,1,,,,0,,,,,,,,,,
81,8,1,,,,0,,,,,,,,,,
2,0,2,,,,0,,,,,,,,,,
12,1,2,4.311849349067891,0.9469892088761112,0.0,679,121.20996889784426,61.36547612226773,1.10177951058458,1217.8101233946643,7.248094885248929,7.185980589420497,6.065827663888117,2.8469098998845324,2.227399960493694,1.664589735539137
22,2,2,4.657551842129476,1.2669863259803376,0.0,1357,250.05925126285115,78.21998779141175,0.661118308126443,2759.5721151142957,10.119154804655782,10.02038513026692,9.40882597103403,4.246410477654967,1.3387932862477543,0.6620807559777034
32,3,2,4.144727428446268,0.9354902485057366,0.0,27368,110.79807120813737,55.17185127822374,0.0612099728102547,4732.065931453994,9.487302017693583,9.208217054960242,8.179862330648016,3.429890573007029,1.1874294188701469,0.5207336968711387
42,4,2,4.504671392916784,0.8282414579276179,0.0,63491,134.87455692408784,86.2407579170308,0.0598840109594436,4929.74821471651,16.531409025354122,16.19976005409246,15.245490895728658,8.149105115475539,3.8475445425313763,2.116570246862726
52,5,2,5.597527905106368,0.7520691963786568,0.0,26196,360.048578638365,250.30804587639682,7.438962632994784,4472.56124206987,53.31452450734248,52.68078029991558,50.11192792252011,35.21169285890501,25.974362097168957,19.385964059816658
62,6,2,6.1734396636162385,0.6119561547342327,0.0,7053,577.2187115883225,473.88457774302873,87.0255650449393,2097.9483663299357,181.9378486690905,181.69381904094897,180.6293362062989,171.84198797717596,161.39445880594872,152.8182040100787
72,7,2,,,,0,,,,,,,,,,
82,8,2,,,,0,,,,,,,,,,
3,0,3,,,,0,,,,,,,,,,
13,1,3,4.345586399499167,0.9359141133233894,0.0,679,124.47083650416805,63.58902972141214,1.10177951058458,1170.6785619468417,8.017496800044997,7.665489944852438,7.268196729340369,4.048031821181697,2.7284579879412907,1.9151187492629353
23,2,3,4.676631194303068,1.2663895140957453,0.0,1357,251.9616847822035,78.75545751752567,0.307050390304983,2805.5708931006093,10.898422880444274,10.656820621455346,8.366855040198896,2.5398784264675256,0.6616236642253349,0.5471084385879329
33,3,3,4.166998823088559,0.9209216421741353,0.0,27368,112.08834272371207,56.085431481972435,0.059478021371217694,4699.31673251371,10.108743690931119,9.79538463530619,8.977724720112874,3.8016737521117046,1.3049446659814488,0.6482057109878429
43,4,3,4.5337220127651285,0.8152055537384755,0.0,63491,137.29866955826924,88.78755357903215,0.0598840109594436,5227.845937234426,17.38971284666171,17.057697275206362,15.946535757097525,9.069385190749207,4.117721361082264,2.3179665484850105
53,5,3,5.62331798968108,0.7424735370601029,0.0,26196,366.8323788081355,260.21587777247674,3.529687382245883,4760.961733598785,54.660813459359005,53.9973975698901,50.69225645926531,33.90690653687312,26.99258873855373,20.572409335205133
63,6,3,6.182053245215191,0.6161004277765828,0.0,7053,583.4878513861145,476.04617715238845,61.645727616626274,2302.1919641782724,181.3082183217506,181.1865241833938,180.4932873570785,172.1684329219326,165.89231551551032,151.0175733598779
73,7,3,,,,0,,,,,,,,,,
83,8,3,,,,0,,,,,,,,,,
4,0,4,,,,0,,,,,,,,,,
14,1,4,4.371102402692098,0.9483924348970656,0.0,679,127.92163690633399,63.30689673340491,1.10177951058458,1249.1869094794279,6.604542656910044,6.573932162816413,5.657706969412735,3.507452528448179,2.3102459375242748,1.7060127240544274
24,2,4,4.7162826874053705,1.2494331280471909,0.0,1357,257.813888306725,84.34021481120043,0.299101574948391,2927.25728008599,10.7859543214238,10.781567717183455,9.281347891477104,3.300516836393476,2.5872270793775027,1.7623693130509992
34,3,4,4.198603896793133,0.9027601934486027,0.0,27368,114.0025820202168,57.8908233471963,0.121198411975825,4742.412039958402,11.158215606574439,10.891191334018613,9.845528613320074,4.80039787387574,2.3946492661979097,0.9852562781250326
44,4,4,4.558867028745401,0.8070120486555601,0.0,63491,139.69499735944504,91.6117311082712,0.0598840109594436,5204.1794745351945,18.35868473937188,18.111884095692343,17.027466161621714,10.229638497304336,5.7832654333417635,2.875306128818744
54,5,4,5.645946940707703,0.7323139784782587,0.0,26196,371.86590571276923,266.41452366263354,3.84205871224903,4469.345284162379,54.788042593090545,53.64729279165865,49.865844403293366,32.94249221149503,22.745047080317683,17.811571518137043
64,6,4,6.202821117756055,0.6319094528468643,0.0,7053,601.3703896829,490.48114234066367,58.451149761697714,2313.9125912972613,181.56512731111403,181.0140874416544,180.05777284438906,171.67337813579502,163.42293424608962,141.62635637236087
74,7,4,,,,0,,,,,,,,,,
84,8,4,,,,0,,,,,,,,,,
5,0,5,,,,0,,,,,,,,,,
15,1,5,4.412514072080386,0.9077570879153661,0.0,679,129.66289891979588,66.72849655847162,4.443195937486346,1282.1777692964329,8.8752154168922,8.470508302157597,7.626655117377151,5.27358684067811,4.926356685086039,4.684776311286192
25,2,5,4.728953443187506,1.2479589144831973,0.0,1357,261.56043930899574,81.6908699866,0.299101574948391,2976.126338595607,12.281972221209092,12.271941116024255,11.024714924002724,4.165181065791296,1.045450436340485,0.5455113678943707
35,3,5,4.230572965130994,0.8872017956847665,0.0,27368,115.5997341468358,60.18210412918219,0.121198411975825,4768.683160841506,11.745920948447543,11.529335470600472,10.636371230033491,5.922635472643091,2.1897811385942214,0.9640873207574471
45,4,5,4.58865229022154,0.7997589551629248,0.0,63491,142.6144298258661,95.63861397108204,0.0598840109594436,5500.408362219691,18.392921170047927,18.084051255381766,17.15042833079584,10.432899294171259,5.716306413193363,3.5593840338230707
55,5,5,5.678861581694533,0.7165297612693089,0.0,26196,379.765030798087,281.33562158842545,2.6123674975944104,4444.60554829446,54.49877539617576,53.52457383085153,49.997302014988136,32.78117476313024,25.11781930476703,18.556714135821863
65,6,5,6.228221845784553,0.6555558402836746,0.0,7053,626.6584488834217,498.9598209983471,33.57785908375168,2437.7306866561953,182.56937819329926,182.2634208928892,180.39866776626593,173.16414887624487,166.51265322649243,138.04743541816575
75,7,5,,,,0,,,,,,,,,,
85,8,5,,,,0,,,,,,,,,,
6,0,6,,,,0,,,,,,,,,,
16,1,6,4.4294235654098415,0.9295208870855308,0.0,679,133.67226194418734,70.25902932287488,1.10177951058458,1287.1985100907905,10.850138098856291,10.75023533121785,7.828227353458846,4.524699032619509,3.344964271369209,2.2233718909768942
26,2,6,4.7626590021724935,1.2259484240810714,0.0,1357,264.0523468168159,84.24283364954364,0.661118308126443,2709.956783668624,14.894205860867443,14.798219264495474,13.51721760472249,4.930544282226259,2.721847713579125,1.5352921271002349
36,3,6,4.260995342662806,0.8808749295643552,0.0,27368,117.82462638954247,62.61331397140685,0.121198411975825,4722.241270790386,12.796941147871761,12.4333131526294,11.084444292900463,6.1306024668011965,2.4851138716124774,1.2910445580719836
46,4,6,4.621095493704307,0.7961059262473501,0.0,63491,146.2608588113225,99.78927383696711,0.0598840109594436,5408.169287072335,19.380966621078684,19.0861766470639,18.017349522973586,10.542213285813773,5.711988824937347,3.376524165551308
56,5,6,5.705982963230042,0.7062529612101719,0.0,26196,386.844404582419,290.53368302336526,2.630072441924482,4845.040100154807,56.565096866955784,55.606693331855006,50.86366971991742,31.80454894432557,23.92540024859498,17.71068175076607
66,6,6,6.236034646139267,0.6844004295299865,0.0,7053,643.7020414530556,498.16285240756054,36.89691589187702,2678.247744324954,177.03331658729147,176.60193158204754,175.31074526891032,166.81806557133945,158.10579510456756,134.8079236755476
76,7,6,,,,0,,,,,,,,,,
86,8,6,,,,0,,,,,,,,,,
7,0,7,,,,0,,,,,,,,,,
