,order,length_km,Q_decile
0,15,1879.3726295315714,0
1,14,3378.6474238769824,0
2,13,6073.9728968574955,0
3,12,10919.501837047184,0
4,11,19630.56510030954,0
5,10,35290.90355111828,0
6,9,63444.320990774424,0
7,8,114057.20627554953,0
8,7,205046.66296728005,0
9,6,368623.21432320005,0
10,5,662693.419008,0
11,4,1179957.263174532,0
12,3,0.0,0
13,2,0.0,0
14,1,0.0,0
0,15,1879.3726295315714,1
1,14,3378.6474238769824,1
2,13,6073.9728968574955,1
3,12,10919.501837047184,1
4,11,19630.56510030954,1
5,10,35290.90355111828,1
6,9,63444.320990774424,1
7,8,114057.20627554953,1
8,7,205046.66296728005,1
9,6,368623.21432320005,1
10,5,662693.419008,1
11,4,1191358.9555200003,1
12,3,396338.5611307544,1
13,2,0.0,1
14,1,0.0,1
0,15,1879.3726295315714,2
1,14,3378.6474238769824,2
2,13,6073.9728968574955,2
3,12,10919.501837047184,2
4,11,19630.56510030954,2
5,10,35290.90355111828,2
6,9,63444.320990774424,2
7,8,114057.20627554953,2
8,7,205046.66296728005,2
9,6,368623.21432320005,2
10,5,662693.419008,2
11,4,1191358.9555200003,2
12,3,751179.3705493908,2
13,2,0.0,2
14,1,0.0,2
0,15,1879.3726295315714,3
1,14,3378.6474238769824,3
2,13,6073.9728968574955,3
3,12,10919.501837047184,3
4,11,19630.56510030954,3
5,10,35290.90355111828,3
6,9,63444.320990774424,3
7,8,114057.20627554953,3
8,7,205046.66296728005,3
9,6,368623.21432320005,3
10,5,662693.419008,3
11,4,1191358.9555200003,3
12,3,1143536.5835526567,3
13,2,0.0,3
14,1,0.0,3
0,15,1879.3726295315714,4
1,14,3378.6474238769824,4
2,13,6073.9728968574955,4
3,12,10919.501837047184,4
4,11,19630.56510030954,4
5,10,35290.90355111828,4
6,9,63444.320990774424,4
7,8,114057.20627554953,4
8,7,205046.66296728005,4
9,6,368623.21432320005,4
10,5,662693.419008,4
11,4,1191358.9555200003,4
12,3,1609002.7374856137,4
13,2,0.0,4
14,1,0.0,4
0,15,1879.3726295315714,5
1,14,3378.6474238769824,5
2,13,6073.9728968574955,5
3,12,10919.501837047184,5
4,11,19630.56510030954,5
5,10,35290.90355111828,5
6,9,63444.320990774424,5
7,8,114057.20627554953,5
8,7,205046.66296728005,5
9,6,368623.21432320005,5
10,5,662693.419008,5
11,4,1191358.9555200003,5
12,3,2137521.2610109793,5
13,2,0.0,5
14,1,0.0,5
0,15,1879.3726295315714,6
1,14,3378.6474238769824,6
2,13,6073.9728968574955,6
3,12,10919.501837047184,6
4,11,19630.56510030954,6
5,10,35290.90355111828,6
6,9,63444.320990774424,6
7,8,114057.20627554953,6
8,7,205046.66296728005,6
9,6,368623.21432320005,6
10,5,662693.419008,6
11,4,1191358.9555200003,6
12,3,2141768.9088000003,6
13,2,627965.1661073295,6
14,1,0.0,6
0,15,1879.3726295315714,7
1,14,3378.6474238769824,7
2,13,6073.9728968574955,7
3,12,10919.501837047184,7
4,11,19630.56510030954,7
5,10,35290.90355111828,7
6,9,63444.320990774424,7
7,8,114057.20627554953,7
8,7,205046.66296728005,7
9,6,368623.21432320005,7
10,5,662693.419008,7
11,4,1191358.9555200003,7
12,3,2141768.9088000003,7
13,2,1462327.3250426287,7
14,1,0.0,7
0,15,1879.3726295315714,8
1,14,3378.6474238769824,8
2,13,6073.9728968574955,8
3,12,10919.501837047184,8
4,11,19630.56510030954,8
5,10,35290.90355111828,8
6,9,63444.320990774424,8
7,8,114057.20627554953,8
8,7,205046.66296728005,8
9,6,368623.21432320005,8
10,5,662693.419008,8
11,4,1191358.9555200003,8
12,3,2141768.9088000003,8
13,2,2762749.8791179126,8
14,1,0.0,8
0,15,1879.3726295315714,9
1,14,3378.6474238769824,9
2,13,6073.9728968574955,9
3,12,10919.501837047184,9
4,11,19630.56510030954,9
5,10,35290.90355111828,9
6,9,63444.320990774424,9
7,8,114057.20627554953,9
8,7,205046.66296728005,9
9,6,368623.21432320005,9
10,5,662693.419008,9
11,4,1191358.9555200003,9
12,3,2141768.9088000003,9
13,2,3850371.072,9
14,1,1951376.6098467992,9
