,order,length_km,Q_decile
0,1,1186621.59076604,0
1,2,660285.4833257402,0
2,3,367410.23666125565,0
3,4,204442.29869110236,0
4,5,113760.17683643784,0
5,6,63300.8820420822,0
6,7,35223.236977442415,0
7,8,19599.670386018777,0
8,9,10906.069748404898,0
9,10,6068.589675973265,0
10,11,3376.815067656766,0
11,12,1879.000000000001,0
0,1,1392179.4354604136,1
1,2,763496.7185466683,1
2,3,418715.59396993107,1
3,4,229631.3060353719,1
4,5,125934.01695781441,1
5,6,69064.52304324805,1
6,7,37876.250265162045,1
7,8,20772.029848824677,1
8,9,11391.761882968889,1
9,10,6247.4510070861315,1
10,11,3426.2166368043377,1
11,12,1878.9999999999975,1
0,1,1573232.5947243178,2
1,2,853253.0131896526,2
2,3,462767.36635042715,2
3,4,250984.9154336482,2
4,5,136123.31455441096,2
5,6,73827.37218794208,2
6,7,40040.75938070305,2
7,8,21716.368391142787,2
8,9,11778.014787779108,2
9,10,6387.883546759235,2
10,11,3464.5105259416687,2
11,12,1879.0000000000025,2
0,1,1653261.8556966414,3
1,2,939666.4916930546,3
2,3,534079.409482699,3
3,4,303555.37646069797,3
4,5,172532.14586094435,3
5,6,98062.30975861575,3
6,7,55735.79663783399,3
7,8,31678.623871910706,3
8,9,18005.218745483606,3
9,10,10233.64851274901,3
10,11,5816.511499409563,3
11,12,3305.937855948076,3
12,13,1878.9999999999989,3
0,1,1880172.6741869042,4
1,2,1057243.8238770135,4
2,3,594500.9830596949,4
3,4,334295.0896254725,4
4,5,187978.1701496049,4
5,6,105702.39752065238,4
6,7,59437.73594945542,4
7,8,33422.55746003235,4
8,9,18793.908101060482,4
9,10,10568.041722524875,4
10,11,5942.53761636328,4
11,12,3341.560740304832,4
12,13,1878.999999999996,4
0,1,2140644.6009395346,5
1,2,1190765.9862069956,5
2,3,662381.6178010999,5
3,4,368459.8087978412,5
4,5,204961.35015043325,5
5,6,114012.85581879354,5
6,7,63421.3781399094,5
7,8,35279.10231069187,5
8,9,19624.53507557984,5
9,10,10916.444912373696,5
10,11,6072.437847110044,5
11,12,3377.8855390198987,5
12,13,1878.9999999999968,5
0,1,2455681.6815781593,6
1,2,1350470.0685159715,6
2,3,742673.3764554843,6
3,4,408423.52374525537,6
4,5,224607.1826953254,6
5,6,123519.78665606267,6
6,7,67928.09344951004,6
7,8,37356.16782219313,6
8,9,20543.536606059755,6
9,10,11297.649649003532,6
10,11,6212.994872264611,6
11,12,3416.7553855939445,6
12,13,1879.0000000000032,6
0,1,2876463.0241910913,7
1,2,1561161.362898088,7
2,3,847299.1936655272,7
3,4,459860.1660583871,7
4,5,249582.8792334789,7
5,6,135457.72868390675,7
6,7,73517.84832579816,7
7,8,39900.81684499111,7
8,9,21655.628138655018,7
9,10,11753.298983867246,7
10,11,6378.943899465868,7
11,12,3462.0854390231866,7
12,13,1879.000000000001,7
0,1,3320278.0100804646,8
1,2,1868039.9803331974,8
2,3,1050988.3080660119,8
3,4,591302.346481063,8
4,5,332675.88447049644,8
5,6,187168.61985558094,8
6,7,105303.97270725468,8
7,8,59245.65066775851,8
8,9,33332.523292392914,8
9,10,18753.395338141738,8
10,11,10550.951502339405,8
11,12,5936.1291967382485,8
12,13,3339.758488374745,8
13,14,1878.9999999999984,8
0,1,4818302.191409726,9
1,2,2634303.349118951,9
2,3,1440248.8385953566,9
3,4,787425.1527520679,9
4,5,430507.8084918488,9
5,6,235370.90798369554,9
6,7,128683.99418617792,9
7,8,70355.2129766835,9
8,9,38465.20326244398,9
9,10,21030.024633874367,9
10,11,11497.714780911378,9
11,12,6286.128879290483,9
12,13,3436.8060993001604,9
13,14,1878.9999999999948,9
