,order,Q_decile,mu,sigma,n
0,6,0,2.9603089463314487,0.760449449206958,1618
1,7,0,2.914159415734722,0.7017726342190733,9269
2,8,0,3.2282398350969106,0.8358242710578555,3001
3,9,0,3.2271552724291235,0.944353955512159,8690
4,10,0,3.266877062512628,0.7316259506705517,13014
5,11,0,3.2173891399459538,0.6093811198747184,17209
6,12,0,4.449702226089678,0.9639641280237018,3185
7,6,1,2.95472703417953,0.6878349703549423,1319
8,7,1,2.9107665486299963,0.6462173437072236,8013
9,8,1,3.2162090593101693,0.8065717982454946,2559
10,9,1,3.338996481151391,0.9277680715554375,7374
11,10,1,3.3179137656320643,0.7942482238482605,9582
12,11,1,3.1715841111466023,0.6356864223066138,12390
13,12,1,4.218039872788211,1.1227092875012261,2295
14,6,2,2.9470328515835447,0.7172365341590464,1101
15,7,2,2.9195335212881752,0.635847926958363,5777
16,8,2,3.299050816905132,0.8421146333711776,1819
17,9,2,3.2282271800322655,0.9399777916729718,6305
18,10,2,3.3294197138341413,0.8075361009624344,8694
19,11,2,3.1795029636333503,0.6453576352228493,13101
20,12,2,4.330462147755682,1.0789431750017973,2634
21,6,3,3.015989707801265,0.6653098777444028,986
22,7,3,2.885556650051222,0.6197851296199165,5378
23,8,3,3.3202084398329093,0.7973032854998678,1897
24,9,3,3.1952238747752295,0.9393767663708771,6027
25,10,3,3.3353839948974837,0.7298418894870039,8197
26,11,3,3.1291674296217917,0.6692724102548084,12461
27,12,3,4.305027348701383,1.0988101447685692,2620
28,6,4,3.012454104179192,0.6504371849923521,1002
29,7,4,2.916141879282526,0.6207038062965119,4714
30,8,4,3.22313298525907,0.8209160523338302,1565
31,9,4,3.165380255601245,0.8985204133643907,5858
32,10,4,3.3121915881113306,0.7445535868643726,9947
33,11,4,3.1528350909534506,0.7059984947777574,15820
34,12,4,4.295831891164803,1.0749330758260578,3045
35,6,5,2.985310802477732,0.6659817191878948,991
36,7,5,2.900809543199353,0.6169919243482017,5331
37,8,5,3.3213080514921662,0.7962700408319076,2011
38,9,5,3.2332634270844185,0.9021768546725604,6008
39,10,5,3.28762874641259,0.696541613273735,9711
40,11,5,3.230649497491419,0.6085435440813277,18557
41,12,5,4.3568634077690005,1.0281545714267333,3182
42,6,6,3.034718296553549,0.6188809987770028,1022
43,7,6,2.8885439410940608,0.5962997170637744,5843
44,8,6,3.244894950483014,0.8039362268786717,1930
45,9,6,3.2107039937023156,0.8612139328408555,7246
46,10,6,3.2517417430945406,0.6763923993692588,11151
47,11,6,3.315962960206312,0.5820810467591601,19253
48,12,6,4.4523768045103855,1.0099764651854255,3692
49,6,7,2.9831758117240437,0.6236844286083995,1258
50,7,7,2.9067953905599384,0.5923762793270635,6171
51,8,7,3.226694174529816,0.7849484155038814,1804
52,9,7,3.258865046623337,0.8372694316099484,6218
53,10,7,3.37922747624488,0.7122294789897422,10580
54,11,7,3.3766714157717748,0.6047341118482589,22075
55,12,7,4.446238049283561,0.9432997199182139,3252
56,6,8,2.989833935194647,0.6471161220671731,1276
57,7,8,2.969721629406333,0.6082666322794195,7280
58,8,8,3.2829089202549397,0.7890839311096064,2174
59,9,8,3.3202609633074216,0.8160143285701503,7335
60,10,8,3.4225592808603125,0.7082758165527795,11996
61,11,8,3.4269423785282704,0.5488145467759202,18044
62,12,8,4.541612788828909,0.8839406720311571,2611
63,6,9,3.0878303627781105,0.653470339629778,1104
64,7,9,3.0010678401714515,0.6099049970997186,6062
65,8,9,3.4575730324215592,0.7543538012440331,1984
66,9,9,3.4581960401578056,0.8101963561403871,6421
67,10,9,3.5362556543271544,0.7374895052040749,10158
68,11,9,3.524571607376161,0.5161464394044725,18322
69,12,9,4.616386383973112,0.8326158174920175,3579
